swr_factor,k_min,par_id
0.950008179247379,2.68565484671998e-07,p0001
0.727500749379396,1.12684993243492e-07,p0002
0.892788377404213,1.782581382595e-07,p0003
0.924390321248211,2.24420217915726e-07,p0004
0.93292476569768,1.74753844762158e-07,p0005
0.708118809061125,2.13056600840849e-07,p0006
0.827340650744736,1.40307008633933e-07,p0007
0.7205358117586,2.17518309730244e-07,p0008
0.725594422407448,1.4851399924253e-07,p0009
0.902307096379809,2.94876512067525e-07,p0010
0.844552266551182,1.85974430435699e-07,p0011
0.823912192997523,1.82218689843725e-07,p0012
0.866992879426107,2.81585517232961e-07,p0013
0.735615523601882,1.31860754897397e-07,p0014
0.909992324677296,1.80969533715827e-07,p0015
0.913097033719532,1.50754518267955e-07,p0016
0.708257794636302,1.85743446669714e-07,p0017
0.899090151139535,1.88894268296592e-07,p0018
0.859988799644634,1.83730334761934e-07,p0019
0.978969811229035,1.7730700469153e-07,p0020
0.70614366219379,2.49923115839972e-07,p0021
0.759183868672699,1.38413641420602e-07,p0022
0.93067860759329,2.08530888408527e-07,p0023
0.86312668104656,2.04420879378424e-07,p0024
0.955948169366457,2.78871627800535e-07,p0025
0.726527173933573,1.69888735491692e-07,p0026
0.893352939095348,1.30183105176616e-07,p0027
0.920100880553946,1.58869118309731e-07,p0028
0.800133045995608,1.21842098555388e-07,p0029
0.79717026213184,2.25740835171762e-07,p0030
0.936530245747417,1.44896815794955e-07,p0031
0.820485310349613,1.67983894705499e-07,p0032
0.83516605743207,2.03751313481021e-07,p0033
0.920120845967904,1.47343894728041e-07,p0034
0.711839470290579,1.1566714782874e-07,p0035
0.964922395232134,2.13354964611589e-07,p0036
0.922976811276749,1.39440533342366e-07,p0037
0.789002011716366,2.84371361319355e-07,p0038
0.923808417329565,1.5221149212103e-07,p0039
0.872569345496595,2.01231518952619e-07,p0040
0.888976132776588,2.47772379110868e-07,p0041
0.742218059301376,2.28125580938252e-07,p0042
0.75891851997003,2.85595496597724e-07,p0043
0.969057167530991,1.72187474667503e-07,p0044
0.936344441655092,2.28079225965858e-07,p0045
0.926951248804107,1.90169627420988e-07,p0046
0.741399545711465,1.54450524341213e-07,p0047
0.945651755132712,1.0232554853726e-07,p0048
0.98045905623585,1.16304144177284e-07,p0049
0.939717328501865,2.77925940716743e-07,p0050
0.990307615464553,2.52582990818545e-07,p0051
0.938469597348012,1.074307444047e-07,p0052
0.816962845716625,2.3613986008369e-07,p0053
0.780745095573366,1.99614867600433e-07,p0054
0.961730840103701,1.33265836868995e-07,p0055
0.742459586425684,2.90385838955819e-07,p0056
0.815032283449545,1.70136826921728e-07,p0057
0.780781040946022,1.91440895650666e-07,p0058
0.780966662243009,2.4737353816404e-07,p0059
0.8247189973481,2.30564525476534e-07,p0060
0.888542618020438,1.58983632397723e-07,p0061
0.809650207404047,1.05119191657207e-07,p0062
0.963290602620691,2.83135693725052e-07,p0063
0.898120578681119,1.72765420278163e-07,p0064
0.849575723079033,1.24833885726306e-07,p0065
0.887209971132688,2.06170080150613e-07,p0066
0.735418669227511,1.40330433900603e-07,p0067
0.952251855400391,2.64010202132132e-07,p0068
0.718297741212882,2.10528622067331e-07,p0069
0.904786220681854,2.52028241500124e-07,p0070
0.87889656201005,2.57439277971442e-07,p0071
0.900012562051415,2.372140523584e-07,p0072
0.876338306465186,1.64684119040652e-07,p0073
0.981640602066182,2.07114365648539e-07,p0074
0.750282706739381,1.22861538609567e-07,p0075
0.939200945850462,1.94741488452098e-07,p0076
0.838934002723545,2.44687996133764e-07,p0077
0.885410072328523,2.22049108627559e-07,p0078
0.755830744816922,2.33912107894779e-07,p0079
0.810731767117977,1.81734225872774e-07,p0080
0.770422844123095,1.66075339896642e-07,p0081
0.765797825763002,2.27062953232073e-07,p0082
0.9018936652923,2.57572219106445e-07,p0083
0.771687017148361,2.69519886877921e-07,p0084
0.836930781020783,1.51009616786432e-07,p0085
0.734712305711582,1.92990382415948e-07,p0086
0.89099158088211,1.98543420660816e-07,p0087
0.914923847443424,1.09657501832654e-07,p0088
0.891001048102044,2.52994047687115e-07,p0089
0.746050095418468,2.21475885753847e-07,p0090
0.812680640420876,1.58393237676003e-07,p0091
0.893272753059864,1.32265215390026e-07,p0092
0.868953562132083,2.90783751910088e-07,p0093
0.747217833600007,1.36739169517134e-07,p0094
0.754254366713576,1.55554750988814e-07,p0095
0.705911176349036,2.24704550744837e-07,p0096
0.805481666373089,1.08454939743197e-07,p0097
0.878720862511545,1.49111705156063e-07,p0098
0.705149984220043,2.54539788746129e-07,p0099
0.864910645992495,1.4676920000144e-07,p0100
0.890655535645783,1.56402945131404e-07,p0101
0.773732148786075,1.25948181398396e-07,p0102
0.955545381549746,2.44471897443502e-07,p0103
0.866267182212323,2.09224981574789e-07,p0104
0.931726264255121,1.15285687617902e-07,p0105
0.997195721766911,2.52931618381657e-07,p0106
0.96373772546649,2.3483737215089e-07,p0107
0.79951962409541,1.57978065813542e-07,p0108
0.85331036245916,2.91447484152939e-07,p0109
0.944486803933978,1.09193289636199e-07,p0110
0.80788988173008,2.26110344382074e-07,p0111
0.750019278819673,2.91629770300807e-07,p0112
0.858237916673534,2.66537609460145e-07,p0113
0.772270363452844,1.27682276061901e-07,p0114
0.846149068628438,1.62770905072305e-07,p0115
0.915587411425076,2.89651939754889e-07,p0116
0.940862529352307,1.88458738994974e-07,p0117
0.795514579978772,2.9952779858754e-07,p0118
0.709347492689267,2.1540589945981e-07,p0119
0.829044322157279,2.15879053764322e-07,p0120
0.960997536662035,1.39900852530137e-07,p0121
0.951261522294953,1.7935153178129e-07,p0122
0.808499589259736,2.51948642382528e-07,p0123
0.887531504780054,1.12419270193563e-07,p0124
0.717727778083645,1.56870863437272e-07,p0125
0.791832515178248,1.86016845096948e-07,p0126
0.835679776384495,1.55884550338e-07,p0127
0.973238532803953,1.57629523227116e-07,p0128
0.894119122927077,2.39967957530862e-07,p0129
0.773198749404401,2.41665966615216e-07,p0130
0.764606510964222,1.14708524796969e-07,p0131
0.942443618504331,1.13271385876932e-07,p0132
0.98384441207163,1.43313095871846e-07,p0133
0.907906578737311,1.27026812121112e-07,p0134
0.804631204740144,2.30267597431266e-07,p0135
0.933948795031756,2.82361562300648e-07,p0136
0.945105133159086,1.44635595667508e-07,p0137
0.898257584660314,2.04901299261117e-07,p0138
0.834502104111016,1.08683817105708e-07,p0139
0.839211856597103,2.41133074970169e-07,p0140
0.939502525818534,1.2499404902408e-07,p0141
0.88993007033132,1.91485572194297e-07,p0142
0.740153562603518,1.19188779105477e-07,p0143
0.744492973061278,2.67082822611653e-07,p0144
0.921747823664919,2.30479613384573e-07,p0145
0.93992036585696,1.54446928298522e-07,p0146
0.928017455805093,1.86894129448444e-07,p0147
0.770535210240632,2.89042968791771e-07,p0148
0.76922039410565,1.0238145440221e-07,p0149
0.760107579338364,2.59481076114377e-07,p0150
0.777415276132524,1.25390169639195e-07,p0151
0.717262129485607,1.40655679082119e-07,p0152
0.74535863744095,1.49851317392559e-07,p0153
0.78804397652857,1.14832214697294e-07,p0154
0.857293635909446,2.44185695976471e-07,p0155
0.866020347666927,2.2585815446261e-07,p0156
0.739071553689428,2.7869107726088e-07,p0157
0.928399263648316,2.20865204403324e-07,p0158
0.923248713649809,1.29111585957649e-07,p0159
0.740417728060856,2.12803858484772e-07,p0160
0.964254464488477,1.4351990861001e-07,p0161
0.881016244320199,1.63190984828856e-07,p0162
0.853924483689479,1.07394554141834e-07,p0163
0.776004855660722,1.31373981488534e-07,p0164
0.90646968584042,1.30970117846515e-07,p0165
0.96125201145187,2.62185389671871e-07,p0166
0.786690913280472,2.23723409378912e-07,p0167
0.836761005921289,1.41160810845578e-07,p0168
0.824220008752309,1.13008416408073e-07,p0169
0.93212281614542,1.38413975112274e-07,p0170
0.752009152970277,2.06083805948633e-07,p0171
0.940975629445165,1.70008981857123e-07,p0172
0.863866444909945,2.68038040444049e-07,p0173
0.961723917908966,1.90694138162672e-07,p0174
0.959866149537265,1.98660659252494e-07,p0175
0.7269271080615,1.3045973412824e-07,p0176
0.720609438116662,1.22880871809172e-07,p0177
0.74877297594212,1.85520606416014e-07,p0178
0.930903424066491,1.0668517371526e-07,p0179
0.910369818843901,2.50229011821497e-07,p0180
0.974822924146429,1.46371439593569e-07,p0181
0.834423383162357,1.41924332821389e-07,p0182
0.828699856181629,1.92255726346352e-07,p0183
0.952107113203965,2.90774510298358e-07,p0184
0.9603164375294,1.16294581739958e-07,p0185
0.991778209409677,1.95585045979481e-07,p0186
0.88749871449545,2.74567097190808e-07,p0187
0.972911402769387,2.32179411397532e-07,p0188
0.851183360791765,2.44603067674292e-07,p0189
0.941097093489952,1.36350724787058e-07,p0190
0.712101185577922,2.49194024961756e-07,p0191
0.722062907135114,2.15049472331019e-07,p0192
0.858692202484235,2.24473960608174e-07,p0193
0.959769674390554,1.03921089604973e-07,p0194
0.817392133758403,2.33497866216507e-07,p0195
0.743913476984017,1.01387742789525e-07,p0196
0.963441919442266,1.93759611559109e-07,p0197
0.953838582150638,2.27787195958976e-07,p0198
0.890839561168104,1.98626948904953e-07,p0199
0.72246183892712,1.092242351677e-07,p0200
0.768112360360101,1.18211528022071e-07,p0201
0.916807138989679,1.47348791048997e-07,p0202
0.948242252506316,1.77949225384633e-07,p0203
0.752906765672378,2.72263132001793e-07,p0204
0.801788683445193,1.86974541980458e-07,p0205
0.829123484971933,1.46533360857574e-07,p0206
0.79599306427408,1.03987334835209e-07,p0207
0.803303053276613,1.20969984262495e-07,p0208
0.749123992165551,2.9754545933451e-07,p0209
0.853241783753037,1.46636661905435e-07,p0210
0.950609541055746,2.86488931465224e-07,p0211
0.986642773658968,1.68385561024389e-07,p0212
0.749095960357226,2.66808053342767e-07,p0213
0.724165658070706,1.14684093584345e-07,p0214
0.712652996508405,2.17740149981703e-07,p0215
0.950657086912543,1.55167893857752e-07,p0216
0.821942338743247,1.59342672886463e-07,p0217
0.835680844238959,1.23479643898482e-07,p0218
0.800538983731531,1.37236469930389e-07,p0219
0.833611479401588,1.7816308343004e-07,p0220
0.905375809338875,1.04116010386005e-07,p0221
0.768523864028975,1.3209709702473e-07,p0222
0.996502010384575,2.78499868000093e-07,p0223
0.88631579997018,1.31238033513e-07,p0224
0.766802501562051,1.71183249080351e-07,p0225
0.836853394540958,2.83508742383353e-07,p0226
0.945556981232949,2.0335144005531e-07,p0227
0.950587842892855,2.96020229970368e-07,p0228
0.779993107402697,1.78047135388753e-07,p0229
0.829819085076451,1.84701566486158e-07,p0230
0.833682248229161,2.05101789084665e-07,p0231
0.734119416261092,2.11029452462417e-07,p0232
0.979257694678381,2.80479161671734e-07,p0233
0.836177734145895,1.41379885684535e-07,p0234
0.758460649219342,1.28654745398307e-07,p0235
0.837056026002392,1.21090821514619e-07,p0236
0.929537381790578,2.57128315237396e-07,p0237
0.782061737775803,1.15937118272393e-07,p0238
0.913242101413198,1.00445446765801e-07,p0239
0.863890651566908,1.59108307060008e-07,p0240
0.977012560912408,1.09707996578831e-07,p0241
0.73891706620343,1.07783428713447e-07,p0242
0.925959141040221,1.05832338377721e-07,p0243
0.749859127821401,2.08505222023476e-07,p0244
0.833870336040854,1.85471013914326e-07,p0245
0.931350984727032,1.22492493528635e-07,p0246
0.733156027272344,2.12730664208029e-07,p0247
0.806622304045595,2.92932882709308e-07,p0248
0.804811275401153,1.44737453156074e-07,p0249
0.835689954808913,1.33444574879327e-07,p0250
0.976324171689339,1.30200477546215e-07,p0251
0.855665914737619,1.06889808264115e-07,p0252
0.93489313328173,1.74770770669979e-07,p0253
0.985543629899621,2.28717396435777e-07,p0254
0.793245363328606,2.17456791779458e-07,p0255
0.809894921467639,1.03887754032231e-07,p0256
0.883505227766,1.32535002440208e-07,p0257
0.934608925227076,1.06270516510777e-07,p0258
0.762727504875511,2.83678436983548e-07,p0259
0.854429911123589,1.33217503356788e-07,p0260
0.855864849500358,1.88136145526892e-07,p0261
0.722202010895125,1.22773023067026e-07,p0262
0.853659101738594,1.162269119969e-07,p0263
0.813594539300539,1.79131075215411e-07,p0264
0.964425167464651,1.24626336591743e-07,p0265
0.712757820868865,1.47335321253422e-07,p0266
0.757088722358458,2.17876412092132e-07,p0267
0.905644180066884,1.21524968809528e-07,p0268
0.912055712100118,2.23578798747624e-07,p0269
0.81895019125659,2.05490827341227e-07,p0270
0.944195723766461,1.14201005771517e-07,p0271
0.969627518393099,1.1356220936544e-07,p0272
0.961710979044437,1.25002181635889e-07,p0273
0.771167843323201,1.90944305790138e-07,p0274
0.875365510885604,2.97377133482896e-07,p0275
0.846998289739713,1.33855226590566e-07,p0276
0.998521123616956,2.1252142657465e-07,p0277
0.949742442322895,2.12163168502201e-07,p0278
0.878528258111328,1.94073136175662e-07,p0279
0.948675627703778,1.70692604788481e-07,p0280
0.863296223827638,2.96915778706431e-07,p0281
0.819979261117987,1.85447946848732e-07,p0282
0.949295887700282,2.12915921089532e-07,p0283
0.901845500082709,2.93769286607882e-07,p0284
0.966191063192673,2.21749046704969e-07,p0285
0.759171910281293,2.13264006747618e-07,p0286
