swr_factor,k_min,par_id
1.018,8.407e-06,p0001
1.83,5.915e-07,p0002
1.421,7.973e-06,p0003
1.02,9.864e-06,p0004
0.9322,9.137e-06,p0005
0.6677,4.393e-06,p0006
0.6888,4.343e-06,p0007
0.91,3.986e-06,p0008
1.387,3.99e-06,p0009
1.734,5.343e-06,p0010
0.8428,8.351e-06,p0011
1.354,3.827e-06,p0012
0.9975,6.832e-06,p0013
0.5617,9.232e-06,p0014
1.147,4.015e-06,p0015
1.098,6.413e-06,p0016
1.44,7.446e-06,p0017
1.51,4.613e-07,p0018
1.521,6.394e-06,p0019
1.937,5.666e-06,p0020
1.731,5.439e-06,p0021
1.811,9.683e-06,p0022
0.8868,1.983e-06,p0023
1.671,2.791e-06,p0024
0.6512,6.783e-06,p0025
1.192,4.299e-06,p0026
0.6314,2.663e-06,p0027
1.186,5.915e-06,p0028
0.7846,3.668e-06,p0029
1.698,1.297e-06,p0030
1.393,7.466e-06,p0031
1.772,1.634e-06,p0032
1.072,7.672e-06,p0033
1.936,3.489e-06,p0034
1.751,1.646e-06,p0035
0.6126,6.084e-06,p0036
1.153,5.608e-06,p0037
1.274,6.8e-06,p0038
0.961,2.386e-06,p0039
1.325,1.815e-06,p0040
1.509,3.772e-06,p0041
1.484,9.367e-06,p0042
0.8023,8.437e-07,p0043
1.757,5.809e-06,p0044
1.27,5.046e-06,p0045
1.47,2.086e-06,p0046
1.75,5.744e-06,p0047
0.7485,8.497e-06,p0048
1.413,8.241e-06,p0049
1.642,8.538e-06,p0050
1.157,9.295e-07,p0051
1.92,5.92e-06,p0052
1.548,3.756e-07,p0053
1.176,4.025e-06,p0054
0.7597,8.346e-06,p0055
1.708,6.389e-06,p0056
1.554,4.704e-06,p0057
0.9773,6.464e-06,p0058
1.712,7.515e-06,p0059
1.068,3.391e-06,p0060
1.248,9.108e-06,p0061
1.399,1.529e-06,p0062
1.744,6.591e-06,p0063
1.43,4.478e-06,p0064
1.451,8.115e-06,p0065
0.6584,6.811e-06,p0066
0.7276,8.323e-06,p0067
0.5076,1.695e-06,p0068
1.437,9.212e-06,p0069
1.13,7.746e-06,p0070
0.6113,5.02e-06,p0071
1.22,6.454e-06,p0072
1.886,7.39e-06,p0073
0.5972,4.479e-06,p0074
1.504,9.186e-06,p0075
0.7406,1.438e-06,p0076
1.485,6.575e-06,p0077
1.334,5.328e-06,p0078
0.7781,9.624e-06,p0079
1.878,6.125e-06,p0080
0.6524,7.299e-06,p0081
1.163,9.819e-06,p0082
1.736,6.841e-06,p0083
0.9671,9.495e-06,p0084
0.8583,2.128e-06,p0085
1.095,1.085e-06,p0086
1.161,2.29e-07,p0087
1.374,2.262e-06,p0088
1.292,6.977e-06,p0089
1.777,5.344e-06,p0090
0.6978,6.052e-07,p0091
1.853,4.334e-06,p0092
1.077,2.228e-06,p0093
1.945,8.512e-06,p0094
1.098,9.857e-06,p0095
