swr_factor,k_min,par_id
1.212,5.312e-06,p0001
1.436,2.186e-06,p0002
1.795,9.196e-06,p0003
0.8418,5.452e-06,p0004
1.539,1.81e-06,p0005
0.7823,2.28e-07,p0006
1.588,3.262e-06,p0007
0.5977,3.307e-06,p0008
0.9135,4.416e-06,p0009
1.532,3.708e-06,p0010
1.173,8.545e-06,p0011
1.398,8.342e-06,p0012
1.325,7.297e-06,p0013
1.951,8.42e-06,p0014
1.73,9.591e-06,p0015
1.684,2.965e-06,p0016
1.932,1.19e-06,p0017
0.5914,4.835e-06,p0018
0.5506,9.904e-06,p0019
1.452,5.681e-06,p0020
1.109,2.38e-06,p0021
1.511,9.767e-06,p0022
1.675,4.07e-06,p0023
0.6056,8.31e-06,p0024
1.206,4.331e-06,p0025
0.9041,5.194e-06,p0026
0.6734,8.932e-06,p0027
0.5657,3.726e-06,p0028
1.543,1.332e-06,p0029
1.06,4.01e-06,p0030
0.6172,5.017e-06,p0031
1.579,3.867e-06,p0032
1.071,4.668e-07,p0033
0.7217,5.935e-06,p0034
0.8071,9.652e-06,p0035
1.123,7.41e-06,p0036
0.8849,6.147e-06,p0037
1.126,3.627e-06,p0038
0.7609,1.727e-06,p0039
0.7703,1.446e-06,p0040
1.302,4.23e-06,p0041
1.731,4.028e-06,p0042
0.8763,5.471e-06,p0043
1.498,7.986e-06,p0044
1.956,6.644e-07,p0045
1.59,5.572e-06,p0046
1.529,2.421e-06,p0047
1.823,1.503e-06,p0048
0.8276,3.17e-06,p0049
0.9084,4.192e-06,p0050
1.668,5.631e-06,p0051
1.61,9.103e-06,p0052
0.576,9.991e-06,p0053
0.7988,9.796e-06,p0054
0.793,4.163e-06,p0055
1.724,7.266e-06,p0056
1.153,5.242e-06,p0057
1.843,8.786e-06,p0058
0.5,1.096e-06,p0059
0.7686,2.246e-06,p0060
1.314,3.199e-07,p0061
0.9502,6.468e-06,p0062
1.508,1.538e-06,p0063
0.7558,9.711e-06,p0064
1.223,6.056e-06,p0065
0.8588,4.796e-06,p0066
1.117,9.873e-06,p0067
0.6886,8.273e-06,p0068
1.413,2.94e-07,p0069
0.6774,7.168e-06,p0070
1.488,2.978e-06,p0071
0.6436,6.261e-06,p0072
1.803,2.013e-06,p0073
1.736,4.724e-06,p0074
1.925,6.105e-07,p0075
0.9946,6.334e-06,p0076
1.094,4.016e-07,p0077
0.8391,1.62e-06,p0078
0.947,6.763e-06,p0079
