swr_factor,k_min,par_id
1.078,6.432e-06,p0001
1.275,5.06e-06,p0002
1.853,1.929e-06,p0003
1.625,4.847e-06,p0004
1.587,8.815e-07,p0005
0.5589,4.392e-06,p0006
1.735,6.205e-06,p0007
1.675,8.412e-07,p0008
1.545,4.366e-06,p0009
0.9886,8.149e-06,p0010
0.9905,9.639e-06,p0011
1.346,5.151e-06,p0012
1.717,1.576e-06,p0013
1.818,4.727e-06,p0014
1.604,8.762e-06,p0015
0.7453,8.721e-06,p0016
0.6397,9.646e-06,p0017
1.291,9.331e-06,p0018
0.9533,1.215e-06,p0019
1.369,1.978e-06,p0020
1.18,4.684e-06,p0021
1.154,5.839e-06,p0022
1.872,3.852e-06,p0023
1.679,5.117e-06,p0024
0.7949,3.124e-06,p0025
1.6,8.43e-06,p0026
0.8464,4.998e-07,p0027
0.9398,7.56e-06,p0028
0.6053,1.225e-06,p0029
0.6023,2.159e-06,p0030
1.015,3.284e-06,p0031
1.363,6.188e-06,p0032
0.8164,9.029e-06,p0033
0.6463,6.555e-06,p0034
0.9649,2.328e-07,p0035
1.827,7.319e-06,p0036
1.918,9.962e-06,p0037
0.8096,7.596e-06,p0038
1.669,3.782e-06,p0039
0.8664,5.896e-06,p0040
1.252,2.711e-06,p0041
1.919,9.292e-07,p0042
1.269,1.111e-06,p0043
0.9109,8.455e-06,p0044
1.882,3.397e-06,p0045
0.5283,7.549e-06,p0046
0.7277,5.672e-06,p0047
1.56,3.069e-06,p0048
1.227,3.754e-06,p0049
0.5633,9.459e-06,p0050
1.823,3.406e-06,p0051
0.9426,1.047e-06,p0052
1.758,2.034e-06,p0053
1.124,9.599e-06,p0054
0.5723,5.28e-06,p0055
1.608,4.014e-06,p0056
0.8291,8.075e-06,p0057
1.555,7.903e-06,p0058
0.7141,7.075e-06,p0059
1.659,7.424e-06,p0060
0.968,5.82e-06,p0061
1.316,4.495e-06,p0062
1.52,2.068e-06,p0063
1.088,5.991e-06,p0064
1.44,7.486e-06,p0065
0.6598,3.675e-06,p0066
0.7329,3.305e-06,p0067
1.207,9.822e-07,p0068
0.9156,2.513e-06,p0069
1.927,6.772e-06,p0070
1.705,3.726e-06,p0071
1.499,7.236e-06,p0072
0.5779,7.798e-06,p0073
0.6723,6.405e-06,p0074
1.459,1.632e-06,p0075
1.747,2.012e-06,p0076
1.994,3.007e-06,p0077
1.21,1.719e-06,p0078
1.007,4.448e-06,p0079
1.133,8.233e-06,p0080
1.487,7.17e-06,p0081
0.9725,7.924e-06,p0082
1.887,3.718e-06,p0083
1.728,1.884e-06,p0084
1.45,6.729e-06,p0085
1.681,1.305e-06,p0086
0.5914,6.54e-06,p0087
1.895,8.504e-06,p0088
1.365,2.272e-06,p0089
0.5805,6.882e-06,p0090
0.6654,5.507e-06,p0091
0.609,8.974e-06,p0092
1.657,9.5e-06,p0093
1.295,2.89e-06,p0094
1.05,1.802e-07,p0095
1.925,1.647e-06,p0096
1.964,7.246e-06,p0097
1.137,6.498e-06,p0098
0.52,1.732e-06,p0099
1.11,1.663e-06,p0100
1.249,1.388e-06,p0101
1.96,4.791e-06,p0102
0.9928,5.416e-06,p0103
1.229,2.126e-06,p0104
1.002,7.219e-06,p0105
1.936,4.278e-06,p0106
1.408,7.135e-06,p0107
1.056,3.959e-06,p0108
1.306,6.665e-07,p0109
1.594,2.169e-06,p0110
1.278,5.731e-06,p0111
0.8616,2.757e-08,p0112
1.236,6.281e-06,p0113
0.9016,3.108e-06,p0114
1.797,7.62e-06,p0115
1.198,4.79e-07,p0116
1.042,9.269e-06,p0117
1.128,8.263e-06,p0118
1.639,9.713e-06,p0119
1.898,9.462e-06,p0120
0.7039,9.858e-06,p0121
1.415,3.425e-06,p0122
1.633,2.793e-06,p0123
1.174,2.351e-06,p0124
0.6869,2.645e-06,p0125
1.096,7.736e-07,p0126
1.017,3.89e-06,p0127
0.9211,4.917e-06,p0128
1.951,6.049e-07,p0129
0.8512,1.614e-06,p0130
1.83,2.707e-07,p0131
1.654,1.062e-06,p0132
0.8181,9.087e-06,p0133
0.6435,1.944e-06,p0134
1.878,8.395e-06,p0135
0.8331,9.73e-06,p0136
1.574,8.193e-06,p0137
1.57,7.629e-06,p0138
0.9741,8.752e-06,p0139
1.029,8.528e-08,p0140
1.692,8.321e-06,p0141
1.184,9.168e-06,p0142
1.451,7.685e-06,p0143
0.8409,3.69e-06,p0144
0.6979,6.138e-06,p0145
1.998,8.696e-06,p0146
0.6787,8.227e-07,p0147
1.262,6.95e-06,p0148
1.603,1.534e-06,p0149
1.742,7.076e-07,p0150
1.886,4.086e-06,p0151
1.809,2.636e-06,p0152
1.61,9.154e-06,p0153
1.971,6.711e-06,p0154
1.485,4.641e-06,p0155
1.947,3.374e-06,p0156
0.8432,4.404e-06,p0157
1.286,6.173e-06,p0158
1.586,8.118e-06,p0159
0.935,3.388e-07,p0160
1.573,3.576e-06,p0161
1.849,1.082e-06,p0162
1.292,4.984e-06,p0163
1.916,9.053e-06,p0164
1.976,7.762e-06,p0165
1.431,4.609e-06,p0166
1.157,4.479e-06,p0167
1.372,7.452e-06,p0168
1.642,8.369e-06,p0169
1.773,5.633e-07,p0170
1.688,5.326e-06,p0171
1.234,2.415e-06,p0172
1.255,5.084e-06,p0173
0.583,8.574e-06,p0174
1.214,1.994e-07,p0175
0.5312,7.52e-06,p0176
1.791,2.696e-06,p0177
0.5679,8.051e-06,p0178
1.171,1.425e-06,p0179
1.075,6.396e-06,p0180
1.987,8.524e-06,p0181
0.5089,5.598e-06,p0182
1.036,1.284e-06,p0183
1.531,8.299e-06,p0184
0.6111,2.591e-06,p0185
1.771,2.989e-06,p0186
1.621,2.481e-06,p0187
1.72,1.502e-06,p0188
1.104,3.171e-06,p0189
0.8786,1.595e-06,p0190
1.343,4.29e-06,p0191
0.9255,4.296e-07,p0192
1.358,2.554e-06,p0193
0.5234,5.862e-06,p0194
1.491,7.665e-06,p0195
0.7569,7.861e-06,p0196
1.841,5.687e-06,p0197
1.597,5.313e-06,p0198
1.257,6.096e-06,p0199
1.151,6.961e-06,p0200
0.5716,1.544e-06,p0201
0.8085,3.582e-06,p0202
1.213,2.927e-06,p0203
1.58,5.789e-06,p0204
0.5964,7.898e-06,p0205
1.19,2.566e-06,p0206
0.7529,2.114e-06,p0207
1.544,6.688e-06,p0208
1.673,4.511e-06,p0209
0.7208,6.808e-06,p0210
1.438,5.711e-06,p0211
1.085,7.96e-06,p0212
0.9994,8.986e-06,p0213
1.724,3.603e-06,p0214
1.651,4.67e-06,p0215
1.899,8.22e-06,p0216
0.6287,2.485e-06,p0217
0.6244,5.2e-06,p0218
0.8373,6.011e-06,p0219
1.514,4.223e-06,p0220
0.5261,9.531e-07,p0221
1.099,4.318e-06,p0222
1.242,8.031e-06,p0223
0.6149,8.171e-06,p0224
1.411,3.84e-06,p0225
0.6747,3.24e-06,p0226
0.6352,7.196e-06,p0227
1.974,5.564e-07,p0228
1.701,7.298e-06,p0229
1.239,8.895e-06,p0230
0.769,6.08e-06,p0231
0.7878,6.658e-06,p0232
1.376,2.829e-07,p0233
1.539,2.045e-06,p0234
1.286,7.059e-06,p0235
1.311,4.944e-06,p0236
0.7004,3.259e-06,p0237
1.182,7.736e-06,p0238
1.506,1.403e-06,p0239
1.985,7.962e-06,p0240
1.466,8.317e-06,p0241
0.7975,9.195e-06,p0242
1.861,4.147e-06,p0243
1.01,9.074e-06,p0244
1.271,9.535e-06,p0245
0.5871,1.755e-06,p0246
1.708,3.621e-06,p0247
1.795,3.513e-06,p0248
0.6523,6.315e-06,p0249
0.9128,4.042e-06,p0250
0.9478,5.442e-06,p0251
1.331,2.764e-06,p0252
1.053,2.378e-06,p0253
1.766,2.605e-06,p0254
0.9199,4.521e-06,p0255
1.467,7.718e-06,p0256
1.071,3.034e-06,p0257
1.788,2.214e-06,p0258
1.648,8.491e-06,p0259
